id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
400603842,2015,4,regular,2015-09-26T23:00:00.000Z,False,Arkansas,SEC,Texas A&M,SEC,radio,ESPNRM
400603890,2015,8,regular,2015-10-24T23:00:00.000Z,False,Ole Miss,SEC,Texas A&M,SEC,tv,ESPN
400852729,2015,1,postseason,2015-12-31T00:00:00.000Z,False,Louisville,ACC,Texas A&M,SEC,tv,ESPN
400852729,2015,1,postseason,2015-12-31T00:00:00.000Z,False,Louisville,ACC,Texas A&M,SEC,radio,ESPNRM
400756952,2015,6,regular,2015-10-10T19:30:00.000Z,False,South Florida,American Athletic,Syracuse,ACC,tv,CBSSN
400756976,2015,10,regular,2015-11-07T17:30:00.000Z,False,Louisville,ACC,Syracuse,ACC,web,ESPN3
400756958,2015,7,regular,2015-10-17T19:30:00.000Z,False,Virginia,ACC,Syracuse,ACC,web,ESPN3
400756993,2015,12,regular,2015-11-21T17:30:00.000Z,False,NC State,ACC,Syracuse,ACC,web,ESPN3
400756971,2015,9,regular,2015-10-31T16:00:00.000Z,False,Florida State,ACC,Syracuse,ACC,tv,ABC
400756915,2015,2,regular,2015-09-12T22:00:00.000Z,False,Akron,Mid-American,Pittsburgh,ACC,web,ESPN3
400852721,2015,1,postseason,2015-12-28T19:30:00.000Z,False,Navy,American Athletic,Pittsburgh,ACC,tv,ESPN
400852721,2015,1,postseason,2015-12-28T19:30:00.000Z,False,Navy,American Athletic,Pittsburgh,ACC,radio,ESPNRM
400756965,2015,8,regular,2015-10-24T16:00:00.000Z,False,Syracuse,ACC,Pittsburgh,ACC,tv,ESPNU
400756981,2015,11,regular,2015-11-14T17:00:00.000Z,False,Duke,ACC,Pittsburgh,ACC,tv,ESPNN
400756955,2015,7,regular,2015-10-17T16:30:00.000Z,False,Georgia Tech,ACC,Pittsburgh,ACC,web,ESPN3
400756945,2015,5,regular,2015-10-03T16:00:00.000Z,False,Virginia Tech,ACC,Pittsburgh,ACC,web,ESPN3
